"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"sav",1225245,2372.02155
"velik",1150859,2228.01346
"nov",982453,1901.98669
"dobar",698533,1352.32980
"srpski",510772,988.83259
"sam",449809,870.81085
"mali",368558,713.51241
"isti",364711,706.06479
"evropski",267527,517.92075
"ostali",263444,510.01624
"star",250303,484.57583
"potreban",248726,481.52282
"mlad",245473,475.22516
"politički",239569,463.79527
"sve",232372,449.86218
"javan",231400,447.98043
"poslednji",228864,443.07085
"cel",227821,441.05164
"mnogi",226122,437.76245
"visok",225948,437.42560
"važan",210516,407.54991
"poznat",184038,356.28964
"svetski",181029,350.46435
"glavni",176621,341.93065
"osnovan",174598,338.01421
"državni",174000,336.85651
"nacionalan",171299,331.62749
"lokalan",163054,315.66552
"radni",162513,314.61817
"moguć",161405,312.47313
"međunarodni",160472,310.66688
"različit",159336,308.46763
"svet",152221,294.69330
"ekonomski",146749,284.09974
"narodni",141397,273.73850
"jedini",138888,268.88119
"crn",133987,259.39306
"sledeći",132869,257.22866
"prošli",131514,254.60544
"određen",130390,252.42942
"poseban",127654,247.13265
"gradski",126557,245.00890
"težak",123495,239.08100
"američki",120153,232.61103
"značajan",117103,226.70636
"ljudski",115187,222.99707
"domaći",114158,221.00497
"poslovan",112917,218.60245
"pravi",112046,216.91623
"prethodan",107665,208.43480
"lep",107376,207.87531
"razni",104346,202.00936
"pun",99873,193.34983
"naredan",99816,193.23948
"ruski",99194,192.03531
"loš",98969,191.59972
"jasan",96147,186.13645
"bitan",95868,185.59632
"jak",95094,184.09789
"društven",93961,181.90445
"neophodan",93886,181.75925
"socijalan",91492,177.12457
"sličan",91301,176.75480
"bivši",90234,174.68914
"kulturan",89650,173.55854
"finansijski",88324,170.99146
"pravni",87408,169.21812
"zaposlen",87395,169.19296
"održati",87105,168.63153
"zajednički",87068,168.55990
"dug",86058,166.60458
"crven",85616,165.74889
"srednji",85535,165.59208
"siguran",84411,163.41606
"stručan",83731,162.09961
"životan",83675,161.99120
"neki",83387,161.43364
"zdravstven",83256,161.18003
"sopstven",82678,160.06105
"prav",81363,157.51526
"ozbiljan",80654,156.14267
"prirodan",79719,154.33255
"kratak",79299,153.51945
"brojan",79107,153.14774
"demokratski",77632,150.29221
"slobodan",77169,149.39586
"ličan",76579,148.25365
"privatan",76342,147.79482
"brz",76020,147.17145
"beogradski",75421,146.01181
"vojni",75178,145.54137
"sportski",74580,144.38367
"čitav",74224,143.69447
"pojedini",72916,141.16224
"dodatan",72863,141.05963
"nizak",72765,140.86991
"savremen",72659,140.66469
"spreman",72515,140.38592
"ogroman",71908,139.21079
"današnji",70749,136.96702
"širok",70462,136.41140
"ukupan",70306,136.10939
"uspešan",69689,134.91490
"drugi",69549,134.64387
"zanimljiv",69354,134.26636
"odličan",68240,132.10970
"kvalitetan",68198,132.02839
"normalan",65934,127.64538
"bogat",65655,127.10525
"dalek",62748,121.47743
"dovoljan",61899,119.83380
"pozitivan",61671,119.39240
"nemački",60715,117.54163
"regionalan",60371,116.87566
"budući",59955,116.07030
"zdrav",59920,116.00254
"prisutan",59122,114.45765
"tehnički",59104,114.42280
"moderan",59019,114.25824
"zapadni",58999,114.21952
"hrvatski",58525,113.30188
"centralan",58336,112.93598
"istorijski",57968,112.22355
