"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"samo",1057821,2047.89590
"vio",692189,1340.04809
"tako",635148,1229.61917
"još",606537,1174.22951
"već",586802,1136.02340
"kada",514262,995.58908
"sada",470698,911.25106
"malo",460048,890.63311
"mnogo",415751,804.87603
"danas",389190,753.45508
"dobro",366371,709.27848
"onda",335469,649.45354
"gde",332778,644.24388
"daleko",291786,564.88513
"uvek",270662,523.98997
"nekoliko",264251,511.57855
"također",250741,485.42378
"koliko",237107,459.02894
"veoma",234088,453.18429
"tu",233627,452.29181
"ovde",217648,421.35715
"odnosno",206045,398.89425
"ipak",203012,393.02249
"često",189051,365.99459
"odsto",179609,347.71529
"oko",178287,345.15595
"možda",176737,342.15522
"međutim",175193,339.16610
"naravno",174326,337.48763
"tada",173312,335.52457
"vrlo",168686,326.56883
"sad",152882,295.97297
"toliko",150988,292.30626
"kad",144658,280.05166
"posebno",139990,271.01461
"upravo",137440,266.07792
"tamo",133953,259.32724
"potpuno",130245,252.14871
"kasno",128913,249.57002
"zašto",128056,247.91090
"zato",126239,244.39327
"puta",122608,237.36381
"zaista",122086,236.35324
"ponovo",118912,230.20851
"lako",118724,229.84455
"opet",113929,220.56164
"odmah",113211,219.17162
"zajedno",112000,216.82718
"zatim",109677,212.32995
"verovatno",108851,210.73085
"nikada",108733,210.50240
"dosta",108526,210.10166
"dovoljno",100372,194.31587
"skoro",99958,193.51438
"teško",99323,192.28505
"isto",97838,189.41015
"jako",97051,187.88656
"rano",93526,181.06231
"uglavnom",91495,177.13038
"brzo",90946,176.06754
"jednom",89787,173.82376
"sasvim",88302,170.94887
"dugo",86982,168.39341
"gotovo",85418,165.36557
"sigurno",84901,164.36468
"ovako",83246,161.16067
"trenutno",83216,161.10259
"inače",81648,158.06701
"po",80328,155.51155
"uopšte",79581,154.06539
"prvo",78743,152.44306
"lepo",74128,143.50862
"jednostavno",73865,142.99946
"svakako",71446,138.31638
"naročito",70764,136.99606
"izuzetno",69576,134.69614
"par",68365,132.35170
"pre",67880,131.41276
"puno",67777,131.21335
"zapravo",67701,131.06622
"nikad",67177,130.05178
"kako",66816,129.35290
"jasno",66117,127.99966
"potom",65389,126.59029
"jedino",63573,123.07459
"nesto",62234,120.48234
"zahvaljivati",61738,119.52211
"put",60842,117.78749
"naime",60625,117.36739
"nešto",60457,117.04215
"stvarno",59332,114.86420
"istovremeno",58578,113.40449
"polo",58084,112.44812
"posto",56975,110.30115
"stalno",52340,101.32799
"sta",52045,100.75688
"negde",50631,98.01944
"juče",49967,96.73396
"nedavno",49937,96.67588
"ukupno",47473,91.90568
"sutra",46521,90.06265
"uskoro",46429,89.88454
"ponekad",46301,89.63674
"obično",46044,89.13920
"nekada",45228,87.55946
"nikako",43985,85.15307
"posle",43940,85.06595
"uključivati",43106,83.45136
"konačno",43062,83.36618
"zlo",42471,82.22203
"direktno",42162,81.62382
"isključivo",40907,79.19419
"svega",40327,78.07134
"zasto",39879,77.20403
"nažalost",38725,74.96993
"znatno",38630,74.78602
"jos",38426,74.39108
"valjda",37774,73.12884
"nekako",37434,72.47061
"previše",35941,69.58023
"uspešno",35374,68.48254
"godišnje",35318,68.37413
"onako",34893,67.55135
"pogotovo",34416,66.62789
"najpre",33443,64.74421
"takodje",33381,64.62418
"redovno",33378,64.61837
"stoga",32867,63.62910
"prosto",32709,63.32322
"polako",32298,62.52754
"unapred",32183,62.30490
"odavno",32102,62.14809
"tačno",31945,61.84414
"lično",31831,61.62345
"ozbiljno",31663,61.29820
"prilično",31152,60.30893
"umesto",30877,59.77654
"retko",30547,59.13768
"praktično",30128,58.32651
"dnevno",30086,58.24520
"mozda",29612,57.32756
"blizu",29254,56.63448
"nekad",28623,55.41290
"makar",28281,54.75080
"navodno",27978,54.16420
"apsolutno",27946,54.10225
"odakle",27901,54.01513
"što",27808,53.83509
"dodatno",27180,52.61931
"očigledno",26924,52.12370
"jedva",26681,51.65327
"duboko",26009,50.35230
"javno",25371,49.11716
"svakodnevno",25285,48.95067
"nece",24802,48.01560
"slično",24414,47.26445
"ujedno",24404,47.24509
"uostalom",24323,47.08828
"ubrzo",24260,46.96632
"relativno",23983,46.43006
"značajno",23669,45.82216
"imati",23545,45.58211
"nigde",23464,45.42529
"svuda",23391,45.28397
"slobodno",22861,44.25791
"prethodno",22469,43.49902
"napred",22296,43.16410
"ok",22051,42.68979
"iskreno",21848,42.29679
"opšte",21602,41.82054
"zvanično",21568,41.75472
"drugačije",21485,41.59403
"kao",21278,41.19329
"odlično",21115,40.87773
"definitivno",21034,40.72092
"loše",20933,40.52539
"ikada",20624,39.92718
"detaljno",20366,39.42770
"pomalo",20206,39.11795
"prvenstveno",19892,38.51006
"neposredno",19671,38.08221
"godina",18492,35.79972
"nista",18060,34.96338
"obavezno",17968,34.78527
"automatski",17309,33.50948
"doduše",17220,33.33718
"davno",17134,33.17069
"aktivno",16962,32.83770
"visoko",16639,32.21239
"super",16470,31.88521
"nazad",16421,31.79035
"realno",16311,31.57739
"svetski",16056,31.08372
"pritom",16039,31.05081
"naprotiv",16021,31.01597
"odjednom",15947,30.87271
"govoriti",15947,30.87271
"mesečno",15753,30.49713
"bukvalno",15724,30.44099
"večeras",15642,30.28224
"otprilike",15595,30.19125
"dokle",15587,30.17576
"pažljivo",15525,30.05573
"maksimalno",15492,29.99184
"konkretno",15420,29.85246
"precizno",15355,29.72662
"eventualno",15282,29.58529
"normalno",15184,29.39557
"jednako",14898,28.84189
"rado",14893,28.83221
"čak",14735,28.52633
"drago",14723,28.50309
"najzad",14704,28.46631
"krajnje",14307,27.69774
"dodje",14255,27.59707
"delimično",14062,27.22343
"povremeno",14009,27.12082
"tad",13927,26.96207
"unazad",13910,26.92916
"sinoć",13872,26.85559
"slučajno",13828,26.77041
"otvoreno",13743,26.60586
"koristiti",13678,26.48002
"oduvek",13607,26.34257
"uveče",13417,25.97473
"međusobno",13381,25.90504
"ubuduće",13159,25.47526
"slabo",13010,25.18680
"suprotno",12924,25.02031
"generalno",12767,24.71636
"shodno",12636,24.46275
"nedeljno",12469,24.13945
"ujutru",12469,24.13945
"suditi",12395,23.99619
"bar",12378,23.96327
"nimalo",12328,23.86648
"ionako",12304,23.82001
"suviše",12211,23.63997
"jutros",12027,23.28375
"besplatno",11992,23.21600
"ustvari",11953,23.14049
"podjednako",11904,23.04563
"finansijski",11833,22.90818
"žao",11744,22.73588
"politički",11703,22.65650
"svojevremeno",11700,22.65070
"svejedno",11521,22.30416
"neverovatno",11497,22.25770
"zauvek",11490,22.24415
"samostalno",11434,22.13573
"nedovoljno",11340,21.95375
"bitno",11163,21.61109
"više",11160,21.60528
"kratko",11130,21.54720
"lagano",11049,21.39039
"postepeno",11009,21.31295
"efikasno",10785,20.87930
"prijatno",10615,20.55018
"onoliko",10552,20.42822
"jedno",10549,20.42241
"ukratko",10517,20.36046
"neprestano",10474,20.27721
"dosad",10401,20.13589
"uporno",10388,20.11072
"pravilno",10380,20.09523
"tradicionalno",10196,19.73902
"pored",10089,19.53187
"donekle",9965,19.29181
"uveliko",9943,19.24922
"široko",9890,19.14661
"taman",9886,19.13887
"otuda",9639,18.66069
"savršeno",9627,18.63746
"usput",9589,18.56389
"unutra",9480,18.35287
"pogrešno",9436,18.26769
"mirno",9428,18.25220
"duplo",9375,18.14960
"totalno",9272,17.95019
"dodavati",9257,17.92115
"noću",9203,17.81661
"ubedljivo",9194,17.79919
"ništa",9164,17.74111
"hitno",9134,17.68303
"konstantno",9112,17.64044
"blago",9045,17.51073
"strogo",9043,17.50686
"čvrsto",8919,17.26680
"spolja",8872,17.17581
"sporo",8867,17.16613
"naknadno",8861,17.15451
"odatle",8849,17.13128
"licno",8812,17.05965
"skroz",8791,17.01900
"čisto",8771,16.98028
"svesno",8763,16.96479
"tek",8711,16.86412
"fizički",8696,16.83508
"ikad",8518,16.49048
"približno",8510,16.47499
"snažno",8506,16.46725
"kamoli",8501,16.45757
"plus",8342,16.14975
"tacno",8326,16.11878
"zavisno",8303,16.07425
"drugi",8199,15.87291
"privremeno",8166,15.80902
"prije",8148,15.77418
"ujutro",8146,15.77031
"pogotovu",8069,15.62124
"intenzivno",8006,15.49927
"gledati",7984,15.45668
"istinski",7931,15.35407
"nemoguće",7860,15.21662
"pozitivno",7846,15.18952
"oštro",7776,15.05400
"naglo",7770,15.04239
"napokon",7715,14.93591
"obrnuti",7660,14.82943
"desno",7654,14.81781
"pretežno",7612,14.73650
"navoditi",7579,14.67262
"zajednički",7569,14.65326
"levo",7506,14.53129
"formalno",7494,14.50806
"sutradan",7480,14.48096
"ekonomski",7434,14.39190
"iznenada",7433,14.38997
"svečano",7368,14.26413
"glasno",7355,14.23896
"paralelno",7244,14.02407
"socijalno",7243,14.02214
"dotle",7185,13.90985
