"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"godina",1767786,3422.35756
"srbija",1276060,2470.39720
"čovek",793165,1535.53328
"dan",688759,1333.40776
"vreme",645461,1249.58470
"zemlja",532939,1031.74695
"rad",530218,1026.47921
"deo",512755,992.67160
"mesto",463670,897.64515
"pitanje",454594,880.07440
"problem",425704,824.14461
"grad",401139,776.58783
"broj",398517,771.51175
"dete",396227,767.07841
"način",386742,748.71586
"zakon",383316,742.08327
"strana",380412,736.46125
"svet",373695,723.45743
"beograd",371725,719.64359
"put",363742,704.18885
"država",358834,694.68717
"život",355042,687.34602
"posao",351793,681.05610
"vlada",340587,659.36176
"pravo",328725,636.39744
"sistem",321714,622.82445
"program",319766,619.05320
"kraj",319567,618.66795
"član",314490,608.83909
"reč",305113,590.68563
"predsednik",294569,570.27290
"stvar",282487,546.88267
"cena",275410,533.18190
"odnos",266116,515.18911
"narod",255021,493.70967
"centar",252555,488.93560
"škola",249203,482.44627
"mesec",247997,480.11151
"slučaj",246187,476.60743
"milion",245226,474.74697
"građanin",244877,474.07133
"grupa",239362,463.39452
"cilj",239229,463.13704
"kompanija",235740,456.38249
"razvoj",233759,452.54736
"vlast",232951,450.98310
"izbor",226983,439.42931
"rezultat",224778,435.16053
"srbin",217947,421.93601
"podatak",213377,413.08868
"knjiga",210280,407.09302
"politika",204519,395.93998
"dinar",204028,394.98942
"organizacija",201791,390.65868
"evro",201619,390.32570
"kuća",200898,388.92988
"opština",200742,388.62787
"žena",197474,382.30116
"mogućnost",197310,381.98366
"veza",196197,379.82894
"ime",195249,377.99365
"društvo",195068,377.64325
"uslov",194349,376.25129
"voda",192831,373.31251
"odluka",187400,362.79833
"evropa",187323,362.64926
"prostor",184112,356.43290
"nivo",182052,352.44483
"stranka",180446,349.33568
"sud",179923,348.32318
"kosovo",179818,348.11990
"film",176338,341.38277
"prilika",175732,340.20958
"eu",174721,338.25233
"oblast",174003,336.86231
"situacija",173190,335.28838
"jezik",172348,333.65830
"novac",170967,330.98475
"lice",170884,330.82406
"period",170263,329.62183
"razlog",169797,328.71968
"primer",168357,325.93190
"potreba",166828,322.97182
"banka",165973,321.31658
"sredstvo",165705,320.79774
"vrednost",165487,320.37570
"stanje",164792,319.03021
"ministar",164510,318.48427
"rešenje",164195,317.87445
"osoba",164038,317.57050
"sad",163499,316.52702
"obzir",162601,314.78853
"zaštita",162414,314.42651
"proizvod",161774,313.18750
"preduzeće",161767,313.17394
"rat",161688,313.02100
"ruka",161479,312.61639
"republika",159820,309.40464
"početak",159371,308.53539
"tržište",159314,308.42504
"plan",158949,307.71842
"ministarstvo",157948,305.78053
"projekt",156708,303.37994
