"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"[number]",7590204,14694.30804
"jedan",1333881,2582.33617
"drugi",1106559,2142.25056
"prvi",695081,1345.64688
"dva",538090,1041.71906
"sto",334266,647.12458
"tri",287569,556.72120
"četiri",127899,247.60696
"pet",123574,239.23394
"treći",123111,238.33759
"šest",77567,150.16637
"oba",76581,148.25752
"deset",65265,126.35023
"sedam",60294,116.72659
"osam",48855,94.58118
"četvrti",41075,79.51943
"devet",30857,59.73782
"peti",27451,53.14395
"desetak",24952,48.30600
"ii",22618,43.78747
"dvadeset",20753,40.17691
"v",18994,36.77157
"dvoje",18341,35.50739
"devedeseti",15313,29.64531
"šesti",14192,27.47510
"sedmi",14078,27.25440
"osmi",11491,22.24608
"trideset",10160,19.66932
"iv",10147,19.64415
"dvadesetak",9860,19.08854
"troje",9455,18.30447
"deseti",7906,15.30568
"pedeset",7821,15.14112
"deveti",7498,14.51581
"iii",7231,13.99890
"dvanaest",7111,13.76659
"petnaest",6787,13.13934
"xix",6723,13.01544
"dvadeseti",6524,12.63018
"sedamdeseti",5327,10.31284
"nijedan",5266,10.19475
"tridesetak",5219,10.10376
"i.",5200,10.06698
"obojiti",5071,9.81724
"osamdeseti",4976,9.63332
"četrdeset",4975,9.63139
"petnaesti",4842,9.37390
"i",4818,9.32744
"četvero",4229,8.18716
"jedanaest",3932,7.61218
"trideseti",3854,7.46118
"šezdeseti",3781,7.31985
"vii",3703,7.16885
"tko",3612,6.99268
"petero",3567,6.90556
"xvi",3358,6.50094
"pedesetak",3248,6.28799
"vi",3044,5.89305
"nula",2845,5.50780
"viii",2783,5.38777
"dveju",2628,5.08769
"pedeseti",2552,4.94056
"trinaest",2463,4.76826
"sedamdeset",2356,4.56111
"v.",2320,4.49142
"šezdeset",2284,4.42173
"ix",2271,4.39656
"devetnaesti",2068,4.00356
"xii",2050,3.96871
"osamdeset",1986,3.84481
"osamnaest",1976,3.82545
"xi",1849,3.57958
"šestero",1826,3.53506
"šesnaest",1813,3.50989
"devedeset",1803,3.49053
"dvanaesti",1762,3.41116
"četrnaest",1711,3.31242
"jedanaesti",1666,3.22530
"sedamnaest",1622,3.14012
"četrdesetak",1492,2.88845
"trinaesti",1461,2.82843
"sedmero",1449,2.80520
"osamnaesti",1236,2.39284
"x4",1172,2.26894
"osmero",1151,2.22829
"četri",1150,2.22635
"x",960,1.85852
"sedamnaesti",908,1.75785
"stotinjak",898,1.73849
"četrdeseti",886,1.71526
"devetero",884,1.71139
"desetero",840,1.62620
"stoti",825,1.59716
"devetnaest",806,1.56038
"četrnaesti",777,1.50424
"šesnaesti",724,1.40163
"šezdesetak",624,1.20804
"sedamdesetak",479,0.92732
"x1",448,0.86731
"osamdesetak",281,0.54400
"obadva",258,0.49948
"dvadesetero",233,0.45108
"dvanaestero",216,0.41817
"xxl",190,0.36783
"jedanaestero",189,0.36590
"x16",186,0.36009
"obiti",181,0.35041
"petnaestero",178,0.34460
"tridesetero",146,0.28265
"pedesetero",136,0.26329
"trinaestero",134,0.25942
"tinjak",130,0.25167
"obadvije",123,0.23812
"tristo",116,0.22457
"dvanaestak",116,0.22457
"b.",114,0.22070
"nulti",112,0.21683
"vredan",104,0.20134
"četrnaestero",89,0.17230
"obadvoje",83,0.16068
"sam",74,0.14326
"četrdesetero",72,0.13939
"šesnaestero",71,0.13745
"dvestotinjak",58,0.11229
"dvjesto",57,0.11035
"sedamnaestero",55,0.10648
"devedesetak",54,0.10454
"osamnaestero",54,0.10454
"sedamdesetero",49,0.09486
"devetnaestero",42,0.08131
"šezdesetero",37,0.07163
"osamdesetero",33,0.06389
"obo",27,0.05227
"devedesetero",24,0.04646
"tridestak",20,0.03872
"u-17",19,0.03678
"l800",18,0.03485
"obje",15,0.02904
"jedno-dva",13,0.02517
