"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"u",12982431,25133.42726
"na",7010065,13571.18392
"za",5332903,10324.27052
"sa",3757081,7273.54700
"od",3497646,6771.29201
"o",1735178,3359.22987
"iz",1697024,3285.36537
"do",1262581,2444.30244
"po",1047534,2027.98071
"zbog",561849,1087.71547
"kod",451935,874.92670
"bez",451036,873.18627
"prema",440037,851.89268
"pre",360843,698.57651
"posle",360009,696.96192
"uz",359652,696.27078
"preko",284529,550.83589
"oko",273413,529.31579
"pod",261531,506.31275
"protiv",254069,491.86664
"kroz",249564,483.14516
"nakon",242279,469.04171
"između",238979,462.65305
"tokom",238474,461.67539
"pored",212477,411.34632
"pred",175009,338.80989
"među",157535,304.98097
"pri",152754,295.72516
"k",135663,262.63773
"osim",88347,171.03599
"nad",87415,169.23168
"poput",81017,156.84542
"prilikom",78108,151.21372
"iza",77764,150.54775
"ispod",65240,126.30183
"ispred",63559,123.04749
"umesto",61042,118.17468
"radi",53733,104.02477
"put",52587,101.80617
"povod",47229,91.43331
"širom",47183,91.34426
"iznad",45989,89.03272
"krajem",45328,87.75306
"početkom",42220,81.73610
"van",40330,78.07714
"usprkos",39323,76.12763
"unutar",33717,65.27466
"usled",29067,56.27246
"pomoć",27382,53.01037
"izvan",17871,34.59749
"sredina",14745,28.54568
"blizu",14580,28.22625
"uoči",13186,25.52753
"zarad",11363,21.99828
"kraj",11313,21.90148
"nasuprot",8657,16.75958
"kao",8278,16.02585
"duž",8036,15.55735
"usred",7833,15.16435
"mimo",7635,14.78103
"niz",6902,13.36197
"sred",6045,11.70286
"naspram",4616,8.93638
"izuzev",4556,8.82022
"nadomak",3658,7.08173
"tijekom",3197,6.18925
"spram",2591,5.01606
"pokraj",2482,4.80505
"%",2246,4.34816
"povrh",2220,4.29782
"podno",1266,2.45092
"glede",1257,2.43350
"nasred",1192,2.30766
"diljem",1121,2.17021
"tolko",1080,2.09083
"unatoč",820,1.58748
"koncem",783,1.51585
"okolo",610,1.18093
"posred",498,0.96411
"poraditi",462,0.89441
"više",313,0.60595
"temelj",153,0.29620
"popreko",140,0.27103
"prigoda",137,0.26523
"uzduž",121,0.23425
"navrh",117,0.22651
"naprema",84,0.16262
"ponad",76,0.14713
"otvarati",68,0.13165
"polovica",49,0.09486
"umjesto",47,0.09099
"pem",46,0.08905
"uvrh",37,0.07163
"onkraj",34,0.06582
"sled",29,0.05614
"akonto",25,0.04840
"naprama",20,0.03872
"nada",5,0.00968
