"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency,Relative frequency
"biti",27420855,53085.59427
"hteti",2084717,4035.92232
"moći",1887976,3655.04022
"imati",1872124,3624.35143
"trebati",825729,1598.57578
"reći",642897,1244.62090
"raditi",633217,1225.88084
"nemati",592228,1146.52790
"znati",579518,1121.92189
"kazati",553593,1071.73220
"morati",541534,1048.38650
"postojati",395925,766.49375
"videti",394106,762.97224
"dobiti",355568,688.36433
"misliti",323712,626.69249
"doći",298692,578.25485
"ne",298296,577.48821
"želeti",294049,569.26620
"koristiti",277191,536.62984
"govoriti",262938,509.03664
"dati",249466,482.95543
"nalaziti",238877,462.45558
"ići",225142,435.86522
"početi",214259,414.79620
"postati",201456,390.01014
"smatrati",198665,384.60688
"činiti",195544,378.56476
"predstavljati",195147,377.79619
"ostati",189368,366.60829
"voditi",184191,356.58584
"značiti",181982,352.30931
"živeti",180171,348.80330
"očekivati",166486,322.30973
"pokazati",158194,306.25677
"tražiti",156872,303.69744
"verovati",154617,299.33185
"napraviti",152312,294.86947
"naći",149565,289.55140
"dolaziti",146557,283.72804
"pisati",146515,283.64673
"igrati",140593,272.18199
"uraditi",138296,267.73510
"vratiti",131703,254.97134
"baviti",128574,248.91373
"pomoći",126157,244.23452
"gledati",123766,239.60565
"izgledati",123481,239.05390
"dodati",121574,235.36203
"voliti",118870,230.12720
"davati",118629,229.66063
"uspeti",116987,226.48179
"učestvovati",116790,226.10041
"visiti",113565,219.85695
"otići",113289,219.32262
"pitati",110803,214.50984
"uzeti",107968,209.02140
"doneti",105931,205.07785
"čuti",102631,198.68920
"nastaviti",102164,197.78510
"učiniti",100861,195.26255
"stajati",98845,191.35966
"stići",98375,190.44976
"kupiti",98353,190.40717
"završiti",97698,189.13912
"navoditi",97655,189.05587
"dobijati",97373,188.50993
"krenuti",96490,186.80048
"nositi",95007,183.92946
"praviti",93250,180.52798
"istaći",92916,179.88137
"tvrditi",91978,178.06545
"trajati",91806,177.73246
"pratiti",91137,176.43731
"pogledati",89744,173.74052
"pokazivati",88358,171.05728
"dovesti",87490,169.37687
"nadati",86540,167.53771
"organizovati",86528,167.51448
"pričati",86269,167.01307
"promeniti",85308,165.15261
"razumeti",84949,164.45761
"odlučiti",83540,161.72984
"obezbediti",83215,161.10066
"izjaviti",81973,158.69620
"čekati",81356,157.50171
"zvati",81133,157.06999
"ući",81087,156.98094
"navesti",80648,156.13105
"proći",80500,155.84453
"menjati",79850,154.58616
"ostaviti",78488,151.94939
"iznositi",77943,150.89429
"nuditi",77408,149.85855
"staviti",77329,149.70561
"odnositi",77322,149.69206
"odgovarati",77279,149.60882
"shvatiti",76755,148.59437
"postaviti",76296,147.70577
"izgubiti",76129,147.38247
"desiti",74403,144.04100
"ostvariti",74263,143.76997
"pojaviti",74092,143.43892
"držati",74075,143.40601
"otvoriti",73754,142.78457
"uticati",73228,141.76625
"ticati",72851,141.03640
"ostajati",72599,140.54854
"biće",72425,140.21168
"napisati",71056,137.56136
"omogućiti",70614,136.70566
"objaviti",70257,136.01453
"platiti",70127,135.76285
"donositi",70055,135.62346
"prihvatiti",70041,135.59636
"osvojiti",69692,134.92071
"osećati",69429,134.41155
"izaći",69377,134.31088
"pasti",68153,131.94127
"počinjati",67832,131.31983
"postajati",67517,130.71000
"objasniti",67118,129.93756
"moliti",66732,129.19028
"stati",66117,127.99966
"postići",65422,126.65417
"omogućavati",65154,126.13534
"pokušati",65013,125.86237
"rešiti",64342,124.56334
"isticati",64218,124.32328
"održati",63295,122.53639
"delovati",63118,122.19373
"smeti",62515,121.02635
"sadržati",61763,119.57051
"poslati",61510,119.08071
"predstaviti",61249,118.57543
"odgovoriti",60062,116.27745
"pročitati",59933,116.02771
"zahtevati",59856,115.87864
"pružati",59222,114.65124
"vršiti",59021,114.26211
"pronaći",58871,113.97172
"plaćati",58011,112.30680
"služiti",57922,112.13450
"pobediti",57168,110.67479
"upoznati",57028,110.40375
"čitati",56966,110.28372
"iskoristiti",56788,109.93912
"zavisiti",56314,109.02148
"pokušavati",55847,108.11739
"prodati",55546,107.53466
"boriti",54975,106.42923
"podrazumevati",54681,105.86006
"stvarati",54324,105.16892
"razgovarati",54062,104.66170
"stvoriti",53595,103.75761
"dešavati",53247,103.08390
"uživati",52718,102.05978
"zaboraviti",51898,100.47229
"priznati",51842,100.36388
"smanjiti",51209,99.13842
"pozvati",51190,99.10164
"pomagati",51068,98.86545
"pokrenuti",50702,98.15689
"dajati",50482,97.73098
"otkriti",50304,97.38638
"postavljati",50228,97.23924
"obavljati",50168,97.12309
"održavati",50089,96.97015
"pripadati",49871,96.54811
"preuzeti",49865,96.53649
"dogoditi",49608,96.03895
"posedovati",49554,95.93441
"podneti",48943,94.75154
"naglasiti",48758,94.39339
"podsetiti",48353,93.60933
"naučiti",47940,92.80978
"kretati",47352,91.67143
"saznati",46919,90.83316
"planirati",46810,90.62214
"uzimati",46576,90.16913
"javljati",46476,89.97553
"jesti",46465,89.95424
"obratiti",46008,89.06951
"proizvoditi",45490,88.06668
"kupovati",45339,87.77435
"javiti",44795,86.72119
"prenositi",44781,86.69409
"ponuditi",44701,86.53921
"potvrditi",44625,86.39208
"izabrati",44589,86.32238
"deliti",44268,85.70094
"objašnjavati",44134,85.44152
"ukazivati",44123,85.42023
"učiti",44080,85.33698
"steći",44048,85.27503
"dozvoliti",43757,84.71167
"preći",43577,84.36320
"ulaziti",43562,84.33416
"utvrditi",43555,84.32060
"najaviti",43276,83.78047
"slediti",43251,83.73207
"razmišljati",43229,83.68948
"pružiti",42586,82.44466
"vraćati",42366,82.01875
"podržavati",42357,82.00133
"primiti",42327,81.94325
"saopštiti",42269,81.83096
"potpisati",42160,81.61994
"razvijati",42091,81.48636
"pozivati",41989,81.28890
"koštati",41905,81.12628
"birati",41358,80.06731
"voziti",41250,79.85822
"primetiti",40468,78.34431
"povećati",40309,78.03649
"izvršiti",40280,77.98035
"započeti",40222,77.86806
"čuvati",40206,77.83708
"izazvati",40108,77.64736
"braniti",39911,77.26598
"doprineti",39805,77.06077
"graditi",39726,76.90783
"posetiti",39441,76.35608
"brinuti",39140,75.77335
"podržati",39046,75.59137
"poštovati",38930,75.36680
"prisustvovati",38863,75.23709
"oceniti",38727,74.97380
"moziti",38653,74.83054
"dovoditi",38609,74.74536
"provesti",38566,74.66211
"preneti",38515,74.56338
"rasti",38420,74.37947
"voleti",38318,74.18200
"zaključiti",37786,73.15207
"nastavljati",37782,73.14432
"sprovoditi",37690,72.96622
"slušati",37647,72.88297
"ukazati",37249,72.11246
"izlaziti",37195,72.00792
"nazivati",37180,71.97888
"prolaziti",37162,71.94403
"reagovati",37083,71.79109
"dodavati",36952,71.53748
"glasati",36817,71.27613
"podići",36722,71.09221
"padati",36684,71.01864
"primenjivati",36672,70.99541
"prestati",36490,70.64307
"sprečiti",36157,69.99839
"gubiti",36062,69.81448
"podsećati",35875,69.45245
"umreti",35671,69.05752
"ispuniti",35485,68.69743
"formirati",35286,68.31218
"otvarati",35052,67.85916
"zamisliti",34896,67.55715
"prijaviti",34695,67.16803
"napustiti",34643,67.06736
"mosti",34530,66.84859
"zanimati",34417,66.62983
"odlaziti",34309,66.42075
"uputiti",34001,65.82447
"truditi",33531,64.91457
"slagati",33501,64.85649
"prodavati",33493,64.84101
"probati",33393,64.64741
"pominjati",33375,64.61256
"slati",33345,64.55448
"funkcionisati",33164,64.20408
"piti",32957,63.80333
"važiti",32785,63.47035
"setiti",32670,63.24771
"odigrati",32622,63.15479
"nastao",32519,62.95538
"ubiti",32436,62.79470
"podeliti",32425,62.77340
"stizati",32237,62.40944
"vladati",32186,62.31071
"razlikovati",32082,62.10937
"računati",31956,61.86544
"prepoznati",31811,61.58473
"pripremati",31693,61.35628
"primati",31636,61.24593
"nazvati",31552,61.08331
"pustiti",31361,60.71355
"zadržati",31345,60.68257
"pripremiti",31199,60.39992
"stavljati",31192,60.38637
"razviti",31058,60.12695
"predložiti",30990,59.99531
"izraziti",30921,59.86172
"izvesti",30880,59.78235
"spadati",30791,59.61005
"realizovati",30630,59.29836
"odrediti",30584,59.20931
"obezbeđivati",30352,58.76016
"obuhvatati",30319,58.69628
"posmatrati",30172,58.41169
"zeliti",30158,58.38459
"sastojati",30059,58.19293
"smanjivati",29840,57.76895
"usvojiti",29703,57.50373
"poznavati",29638,57.37789
"uvesti",29419,56.95392
"proveriti",29415,56.94617
"finansirati",29288,56.70031
"izneti",29129,56.39249
"kontrolisati",28706,55.57358
"pojavljivati",28545,55.26189
"sećati",28477,55.13025
"preporučivati",28437,55.05281
"interesovati",28114,54.42749
"odlučivati",28094,54.38877
"predati",28063,54.32876
"pomisliti",28037,54.27842
"predlagati",27931,54.07321
"sačuvati",27919,54.04998
"obaviti",27693,53.61246
"uključiti",27580,53.39369
"nestati",27506,53.25043
"sprovesti",27453,53.14783
"buditi",27428,53.09943
"dokazati",27425,53.09362
"povući",27407,53.05877
"osetiti",27307,52.86518
"odvijati",26994,52.25922
"vrediti",26970,52.21276
"smetati",26945,52.16436
"uključivati",26868,52.01529
"prelaziti",26823,51.92817
"definisati",26738,51.76362
"povećavati",26671,51.63391
"putovati",26606,51.50807
"rešavati",26559,51.41708
"odbiti",26496,51.29511
"doživeti",26492,51.28737
"ponoviti",26433,51.17315
"izazivati",26380,51.07054
"okrenuti",26373,51.05699
"poručiti",26244,50.80725
"ostavljati",26185,50.69303
"zaustaviti",26163,50.65044
"valjati",25987,50.30971
"zatražiti",25853,50.05029
"bojati",25852,50.04836
"nastajati",25668,49.69214
"upravljati",25420,49.21203
"uslediti",25156,48.70093
"ponavljati",25115,48.62156
"trošiti",24874,48.15499
"nedostajati",24804,48.01948
"pevati",24750,47.91493
"svesti",24676,47.77167
"završavati",24500,47.43094
"ostvarivati",24402,47.24122
"izdati",24220,46.88888
"spavati",24024,46.50943
"kriti",23971,46.40682
"ponašati",23837,46.14741
"umeti",23810,46.09513
"sarađivati",23676,45.83572
"širiti",23629,45.74473
"otkrivati",23613,45.71375
"ležati",23586,45.66148
"izvoditi",23229,44.97034
"pretpostavljati",23164,44.84451
"sumnjati",23138,44.79417
"skinuti",23074,44.67027
"izgraditi",22990,44.50765
"savladati",22948,44.42634
"zauzeti",22920,44.37213
"sediti",22899,44.33148
"baciti",22784,44.10884
"uhvatiti",22696,43.93848
"zameniti",22589,43.73133
"isplatiti",22518,43.59388
"upisati",22506,43.57065
"prikazivati",22486,43.53193
"porasti",22462,43.48546
"pomenuti",22457,43.47578
"pretvoriti",22439,43.44094
"dogovoriti",22412,43.38867
"napomenuti",22398,43.36156
"odustati",22395,43.35576
