"corpus","preloaded/srwac12_rft1"
"subcorpus","-"
Item,Frequency
",",29359792
".",20449406
"i",17607105
"je",13739884
"u",12986010
"da",12553622
"se",7896393
"na",7015847
"za",5336412
"su",4427552
"od",3520958
"""",3331678
"sa",3213558
"a",3002446
"ne",2877992
"koji",2596854
"to",2379273
")",2173822
":",2126685
"(",2054529
"kao",1936116
"-",1790897
"o",1778307
"što",1762748
"iz",1700344
"će",1633417
"bi",1522615
"ali",1521018
"nije",1402547
"ili",1345839
"do",1268816
"koje",1230564
"sve",1199014
"sam",1168874
"po",1130370
"kako",1104691
"samo",1077179
"?",1033917
"godine",1025728
"koja",993678
"...",882959
"kada",847665
"pa",844312
"jer",826214
"mi",805510
"tako",790248
"ako",774185
"ima",754352
"biti",745700
"više",715056
"bilo",690324
"smo",669741
"može",653601
"već",615113
"ni",615016
"bio",614834
"još",608024
"srbije",596502
"s",583454
"li",569918
"treba",565409
"zbog",562875
"on",551474
"ga",532270
"sada",497871
"ja",497335
"te",492853
"godina",485228
"jedan",472827
"mogu",469237
"pre",466855
"bez",466606
"dana",460792
"kod",459431
"oko",459412
"''",453504
"ljudi",443995
"prema",440584
"dok",439045
"šta",435385
"nego",432550
"ih",425882
"oni",425380
"kad",424519
"nema",422480
"ovo",418145
"ove",415719
"nisu",408842
"toga",400662
"gde",399680
"bila",397193
"posle",392299
"ovaj",391676
"danas",391010
"svoje",385237
"vreme",383875
"nas",368957
"srbiji",361765
"uz",358989
"bude",357077
"tu",354541
"ko",353823
"sto",353512
"mu",352448
"/",348648
";",344523
"svi",344444
"ti",335900
"onda",335841
"taj",332945
"radi",330964
"mnogo",323257
"dva",319401
"rekao",318803
"im",311122
"nam",308124
"koju",307827
"način",304811
"tome",303060
"ona",300125
"ste",299038
"nakon",297553
"vam",293745
"ono",292924
"kaže",292886
"preko",291245
"koliko",290149
"imaju",286816
"zato",286594
"tri",286258
"malo",275757
"nešto",275006
"ovog",272925
"pod",270839
"bili",269586
"sad",267357
"strane",266244
"prvi",264380
"nekoliko",264373
"dobro",262729
"kojima",261222
"neki",261087
"protiv",259454
"2",257149
"uvek",257080
"broj",250902
"ovom",249854
"kroz",249335
"takođe",245562
"me",244925
"deo",243282
"neko",240263
"između",239564
"bih",239047
"tokom",238653
"postoji",236988
"1",236621
"%",236327
"dve",235538
"veoma",234477
"vas",232045
"dalje",230536
"tim",229796
"drugi",228356
"tom",227305
"3",226169
"čak",226096
"put",224512
"neće",223986
"druge",223842
"ova",223616
"pored",222719
"novi",218706
"njih",218362
"mora",215881
"10",213997
"ovde",208738
"srbija",208485
"odnosno",208260
"vi",207084
"puta",206749
"miliona",206408
"svih",206166
"jednom",205797
"svoj",204272
"ipak",203333
"svojim",202790
"jedna",201675
"iako",200191
"pitanje",199351
"ce",199087
"kojoj",198168
"trebalo",190274
"svoju",190049
"problem",188693
"one",188350
"neke",187041
"veliki",186653
"ta",185967
"dinara",185216
"nisam",184923
"evra",180800
"stvari",180145
"odsto",179727
"ukoliko",177477
"prava",177179
"možda",177008
"svega",176933
"dan",176783
"eu",176333
"međutim",175231
"rad",175020
"naravno",174755
"pred",174404
"tada",173475
"20",172774
"mislim",168851
"vrlo",168730
"vremena",167758
"mesto",166358
"zemlje",164188
"svim",163251
"ništa",162044
"kome",161298
"manje",160764
"bolje",160504
"4",160399
"predsednik",159298
"među",158674
"si",157232
"znači",157109
"5",156777
"neka",155039
"]",154965
"naše",154578
"..",154481
"[",154323
"sebe",153407
"pri",152994
"beogradu",152820
"svaki",152334
"svetu",152099
"posebno",151718
"toliko",151205
"pravo",150891
"tek",150870
"jeste",150390
"zakona",148786
"možete",148188
"jednog",147784
"rada",147741
"znam",147640
"njega",147235
"tog",147033
"biće",146737
"imao",145352
"sta",144774
"nove",144594
"zašto",143759
"15",142712
"grada",142298
"isto",142000
"zna",141607
"mesta",141460
"vlada",141100
"život",141051
"drugih",139050
"osim",137987
"potpuno",137697
"upravo",137606
"nalazi",137321
"njima",137189
"vlasti",136854
"pošto",136795
"posao",135839
"država",135722
"vlade",135716
"kraju",135358
"tamo",134233
"godinu",132897
"baš",132126
"niko",131873
"joj",131854
"oblasti",131330
"budu",130766
"12",130423
"ovih",130397
"države",129898
"pet",129181
"ovoj",129115
"života",129035
"imali",128742
"sistem",128265
"četiri",128147
"potrebno",127224
"ćemo",126047
"srpske",125880
"ovu",125742
"dovoljno",125306
"sveta",125236
"mogao",125028
"30",124861
"rade",124783
"dakle",124592
"ovim",124339
"program",124245
"prvo",124187
"e",123924
"ka",122721
"zaista",122668
"često",122493
"imati",122478
"slučaju",122474
"beograd",121883
"predstavlja",121456
"pitanju",121115
"imamo",121067
"jednu",120333
"sebi",120115
"ponovo",119328
"osnovu",118863
"ime",118526
"dela",117660
"vise",117511
"reč",117196
"jedno",116530
"problema",116350
"tih",115625
"svom",115590
"6",115466
"pomoć",115441
"drugim",115340
"prilikom",115170
"mene",114934
"cilj",114539
"opet",114485
"jos",114425
"primer",114067
"postoje",113992
"okviru",113908
"svog",113806
"razvoj",113737
"jasno",113618
"vode",113545
"sistema",112926
"zajedno",112249
"novog",111823
"grad",111517
"član",110616
"nikada",109807
"zatim",109699
"moguće",109288
"odmah",109101
"dosta",109054
"zakon",108861
"zemlji",108802
"kasnije",108531
"kojih",108511
"koristi",107785
"meni",107618
"programa",107551
"republike",107516
"pitanja",106834
"kojim",106523
"niti",106193
"naš",105399
"odnosu",104668
"opštine",104498
"onih",103725
"narod",103686
"vec",103555
"moze",102685
"skoro",101958
"čovek",101859
"mestu",101741
"drugo",101423
"11",101300
"njegov",100743
"jedne",100657
"verovatno",100307
"mogli",100267
"mogućnost",100146
"građana",99844
"dr",99765
"svojih",99764
"velike",99656
"preporuke",99618
"koga",99363
"preduzeća",99285
"najviše",99273
"kraja",99233
"čini",99183
"teško",98968
"vidi",98698
"novom",98683
"sigurno",97661
"50",97478
"nama",97324
"možemo",96055
"kompanije",95894
"izgleda",95867
"najbolje",95821
"bar",95536
"kompanija",95372
"2011",94980
"beograda",94494
"moj",94364
"srbiju",94326
"njemu",93949
"nova",93879
"cena",93782
"govori",93719
"pravi",93155
"jako",93098
"video",93068
"....",92812
"grupe",92598
"imam",92481
"100",92175
"d",91947
"ide",91659
"uglavnom",91552
"vrednosti",91342
"time",91102
"periodu",91073
"škole",90783
"0",90534
"aktivnosti",90336
"7",90289
"naroda",89688
"lako",89166
"velika",89056
"mnogi",89017
"14",88973
"direktor",88920
"sasvim",88398
"vodi",88317
"2012",88251
"priča",88196
"srpski",88033
"bile",87902
"nad",87893
"žena",87789
"umesto",87743
"druga",87688
"gotovo",87542
"16",86852
"moći",86819
"veka",86574
"kojem",86512
"no",86440
"čega",86381
"isti",86326
"smatra",86280
"razloga",86226
"novih",86153
"18",86119
"svako",86104
"13",85949
"stranke",85689
"trenutno",85171
"ranije",85128
"jedino",85103
"minuta",85036
"novac",84954
"svakom",84852
"drugog",84843
"vlast",84818
"čemu",84583
"dece",84574
"stvar",84395
"prošle",84208
"sva",84187
"par",84161
"moraju",84060
"lica",83945
"svet",83790
"predsednika",83666
"prva",83586
"reči",83494
"ovako",83399
"ćete",83383
"8",83365
"svojoj",83189
"god",83142
"dobar",83117
"drugom",82629
"gore",82580
"sami",82323
"delu",82322
"ministar",82126
"nekim",81705
"putem",81695
"lepo",81686
"inače",81667
"grupa",81569
"nesto",81423
"toku",81348
"njegova",81275
"mogućnosti",81253
"imala",81126
"2013",81126
"poput",81055
"meseci",80907
"radio",80869
"dobio",80828
"društva",80455
"nivou",80347
"onaj",79982
"uopšte",79908
"meseca",79830
"centar",79767
"nismo",79221
"deca",78921
"njegove",78865
"naša",78842
"gradu",78699
"godini",78252
"daje",78018
"iza",77999
"vezi",77872
"brzo",77819
"šest",77567
"zemalja",77469
"kažu",77207
"17",77157
"jednostavno",76805
"g",76654
"ovi",76617
"centra",76371
"koriste",76358
"nemaju",76346
"ljude",76028
"ljudima",75973
"prvog",75782
"knjiga",75571
"pomoći",75436
"odgovor",75359
"mada",75322
"srbi",75277
"svaka",75246
"projekat",75178
"rata",75166
"proizvoda",75145
"veći",74900
"svakog",74859
"navodi",74673
"trenutku",74645
"rečima",74635
"skladu",74519
"potrebe",74466
"najbolji",74363
"kuće",74330
"kosova",74030
"40",73886
"toj",73804
"evrope",73713
"mogla",73710
"dolara",73706
"dolazi",73627
"evropske",73575
"najveći",73515
"dete",73333
"puno",73330
"ću",73282
"njihove",73277
"moje",73256
"obzirom",73239
"radu",73131
"žene",73093
"projekta",73071
"osoba",72891
"@",72857
"evo",72857
"banke",72843
"reći",72827
"nekog",72586
"rešenje",72443
"ceo",72426
"čiji",72376
"ma",72351
"cene",72215
"podataka",71990
"nekih",71935
"kulture",71904
"imate",71786
"25",71743
"srpskog",71686
"naročito",71498
"svakako",71475
"sredstva",71409
"ispod",70930
"većina",70645
"izuzetno",70447
"neku",70232
"19",69894
"podršku",69856
"film",69338
"evropi",68934
"prvom",68921
"prve",68868
"glavni",68851
"kraj",68845
"tržištu",68825
"svima",68650
"rekla",68619
"skupštine",68317
"organizacije",68136
"zapravo",67896
"posla",67884
"organizacija",67482
"razvoja",67380
"knjige",67349
"smislu",67329
"politike",67308
"nikad",67187
"mali",67046
"rezultat",67029
"ostali",66948
"ispred",66941
"hvala",66923
"jedini",66760
"znaju",66541
"vidim",66541
"internet",66432
"stanje",66369
"rešenja",66282
"promene",66160
"srba",65986
"daleko",65803
"deset",65511
"građani",65437
"potom",65411
"broja",65395
"odbora",65357
"informacije",65322
"novca",65309
"pola",65279
"očekuje",65063
"škola",64981
"veze",64910
"našeg",64742
"21",64714
"tj.",64708
"želi",64694
"sud",64564
"takav",64554
"njihov",64520
"vojvodine",64426
"itd.",64403
"bolesti",64348
"dugo",64217
"nalaze",63983
"piše",63913
"maja",63623
"ministarstva",63560
"igra",63400
"22",63338
"obzira",63307
"istraživanja",63289
"decu",63074
"autor",62988
"naših",62963
"proces",62859
"tiče",62748
"stav",62685
"vozila",62499
"moja",62456
"važno",62437
"tekst",62401
"istakao",62268
"dobili",62212
"prostor",62124
"m",62054
"stvarno",61825
"zahvaljujući",61762
"izjavio",61737
"godinama",61727
"km",61523
"radnika",61399
"svake",61375
"istovremeno",61329
"hiljada",61248
"centru",61219
"životu",61183
"moglo",61105
"žele",61078
"sati",60931
"nedelje",60729
"naime",60660
"tv",60626
"sedam",60581
"zemlja",60417
"stanju",59980
"javnosti",59931
"energije",59914
"poslednjih",59837
"nekom",59698
"živi",59623
"9",59592
"vaše",59465
"izbora",59160
"priliku",58921
"zaštitu",58834
"strani",58632
"crkve",58599
"mnoge",58488
"izbor",58273
"kažem",58259
"veća",58100
"zemlju",58063
"24",58042
"misli",57863
"h",57776
"društvo",57674
"dobiti",57664
"novu",57645
"vrata",57560
"stalno",57452
"naši",57303
"posto",57298
"znanja",57185
"prostora",57068
"zahteva",57035
"nista",57026
"povodom",57024
"sredstava",56974
"nivo",56781
"odnosi",56675
"čoveka",56640
"sama",56536
"dođe",56519
"zaštite",56495
"jezika",56436
"bismo",56417
"23",56319
"recimo",56319
"ostale",56230
"kojom",56206
"vrednost",56181
"velikog",56131
"ruke",56108
"najmanje",56066
"milijardi",56025
"kvalitet",55969
"ministarstvo",55930
"odluka",55904
"jezik",55827
"snage",55823
"ideja",55821
"slika",55684
"mladih",55560
"zemljama",55557
"vama",55518
"vrste",55487
"dodao",55471
"plan",55406
"2010",55333
"kosovo",55325
"udruženja",55201
"razlog",55129
"veće",55003
"vaš",54768
"uslovima",54708
"metara",54698
"tela",54679
"odluke",54603
"dobra",54546
"predlog",54536
"bolji",54164
"zaposlenih",54135
"zajednice",54037
"žive",53838
"političke",53796
"kakav",53786
"pare",53716
"akcije",53714
"vrsta",53663
"njihova",53582
"60",53564
"čine",53516
"juče",53452
"veliku",53385
"srpska",53210
"firme",53157
"hrane",53145
"činjenica",53077
"predstavnici",53059
"osobe",53043
"njegovo",53000
"situacija",52968
"časova",52932
"ljubav",52927
"van",52887
"njen",52813
"jednoj",52769
"usluga",52757
"pažnju",52738
"različitih",52737
"njoj",52697
"tačno",52599
"novim",52582
"korisnika",52492
"znamo",52417
"članovi",52410
"njegovog",52357
"politika",52304
"opština",52299
"mozda",52290
"vidu",52232
"1.",52208
"odnos",52020
"početka",51884
"našem",51600
"znate",51539
"igre",51411
"moramo",51405
"kluba",51325
"mladi",51303
"njegovim",51135
"plate",51077
"model",51037
"juna",50994
"iskustva",50911
"nedavno",50900
"takve",50881
"bas",50661
"ulogu",50646
"suda",50620
"informacija",50582
"početkom",50549
"daju",50505
"iznad",50447
"ostalih",50387
"najčešće",50348
"fakulteta",50290
"verujem",50290
"kazao",50286
"probleme",50242
"kosovu",50231
"našim",50186
"širom",50159
"kući",50149
"stoji",50148
"pravu",50146
"odnose",50140
"omogućava",50106
"razliku",50070
"računa",50067
"ds",50026
"iste",49883
"slučaj",49832
"redu",49823
"nje",49797
"našoj",49696
"200",49613
"oktobra",49593
"slike",49561
"dao",49497
"marta",49423
"došlo",49388
"lice",49295
"=",49293
"ukupno",49273
"tema",49268
"sredine",49240
"meri",49155
"osam",49141
"ugovor",49123
"rezultate",48998
"mere",48970
"ostaje",48939
"svemu",48923
"porodice",48888
"početak",48879
"članova",48643
"čime",48620
"pristup",48580
"ostalo",48558
"počinje",48363
"proizvodnje",48213
"pokazuje",48183
"aleksandar",48153
"politički",48148
"početku",48122
"krajem",48120
"naći",48110
"odluku",48038
"saveta",47995
"klub",47851
"period",47708
"člana",47660
"biste",47626
"nece",47619
"videti",47617
"drugu",47511
"postao",47499
"kvaliteta",47486
"saradnji",47440
"negde",47433
"zdravlja",47398
"mesec",47350
"obično",47338
"niz",47291
"medija",47265
"poslova",47248
"akcija",47227
"bavi",47170
"radova",47076
"zar",47025
"novo",47002
"odnosa",46952
"automobila",46944
"sutra",46928
"usluge",46838
"strana",46810
"bitno",46777
"ovoga",46670
"univerziteta",46647
"sledeće",46638
"velikim",46630
"nju",46553
"kuća",46488
"došao",46450
"uskoro",46429
"ponekad",46320
"izvor",46055
"počeo",45977
"sezone",45972
"nudi",45954
"prodaje",45948
"niste",45845
"istina",45802
"javno",45708
"dobila",45702
"nadam",45667
"hrvatske",45653
"telo",45624
"vide",45616
"direktno",45608
"umetnosti",45548
"sata",45534
"sela",45528
"konačno",45525
"traži",45476
"postaje",45420
"iskustvo",45416
"razvoju",45376
"the",45358
"temu",45348
"zakonom",45326
"nekada",45303
"2012.",45275
"traje",45205
"budžeta",45107
"kom",45056
"broju",44991
"svojom",44898
"politiku",44819
"doba",44791
"aprila",44784
"uslove",44766
"cenu",44737
"putu",44566
"lokalne",44513
"institucija",44446
"dobre",44412
"poslednje",44409
"crne",44374
"voda",44335
"ruku",44239
"nikako",44191
"odgovara",44185
"jula",44126
"ističe",44119
"2011.",44091
"loše",44057
"doći",44054
"nato",43996
"ljubavi",43963
"rezultati",43849
"agencija",43847
"rast",43799
"velikih",43576
"moram",43522
"korak",43432
"uprave",43240
"zahtev",43239
"ugovora",43170
"sadrži",43169
"policija",43126
"uključujući",43117
"ekipa",43115
"septembra",43085
"b",43076
"javnog",42977
"sadu",42930
"delo",42774
"tvrdi",42773
"pravila",42738
